feature,decision,reason,correlation_with_target,missing_pct
opp_pos_fp_allowed_std_30,eligible,eligible for at least one first-pass feature set,-0.0224664078731439,0.2055183044315992
opp_pos_fp_allowed_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0003288135938441,0.2030520231213873
opp_pos_fp_allowed_momentum_3_vs_10,eligible,eligible for at least one first-pass feature set,-0.0018083927154192,0.2030520231213873
opp_pos_fp_allowed_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0025855310237662,0.2030520231213873
opp_pos_fp_allowed_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0012597433414939,0.2055183044315992
opp_pos_fp_allowed_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0021375958998749,0.2055183044315992
opp_pos_fp_allowed_per_player_roll_3,eligible,eligible for at least one first-pass feature set,0.0309795181571,0.2030520231213873
opp_pos_fp_allowed_per_player_roll_5,eligible,eligible for at least one first-pass feature set,0.0396246644510168,0.2030520231213873
opp_pos_fp_allowed_per_player_roll_10,eligible,eligible for at least one first-pass feature set,0.0484812372845578,0.2030520231213873
opp_pos_fp_allowed_per_player_roll_30,eligible,eligible for at least one first-pass feature set,0.0629886466474835,0.2030520231213873
opp_pos_fp_allowed_per_player_std_30,eligible,eligible for at least one first-pass feature set,0.0511170704382566,0.2055183044315992
opp_pos_fp_allowed_per_player_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0029842082831463,0.2030520231213873
opp_pos_fp_allowed_per_player_momentum_3_vs_10,eligible,eligible for at least one first-pass feature set,0.0005805018788015,0.2030520231213873
opp_pos_fp_allowed_per_player_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0022328391276142,0.2030520231213873
opp_pos_fp_allowed_per_player_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0041610864571805,0.2055183044315992
opp_pos_fp_allowed_per_player_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0022734182419906,0.2055183044315992
opp_pos_minutes_allowed_roll_5,eligible,eligible for at least one first-pass feature set,-0.0561944430666593,0.2030520231213873
opp_pos_minutes_allowed_roll_10,eligible,eligible for at least one first-pass feature set,-0.0567387595454203,0.2030520231213873
opp_pos_minutes_allowed_roll_30,eligible,eligible for at least one first-pass feature set,-0.0575496626786951,0.2030520231213873
opp_pos_minutes_allowed_std_30,eligible,eligible for at least one first-pass feature set,-0.0371025657667958,0.2055183044315992
opp_pos_minutes_allowed_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,-0.0036229579590043,0.2030520231213873
opp_pos_minutes_allowed_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0010852558790601,0.2030520231213873
opp_pos_minutes_allowed_z_5_vs_30,eligible,eligible for at least one first-pass feature set,-0.0039207559924021,0.2055491329479769
opp_pos_minutes_allowed_z_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0013018409022508,0.2055491329479769
opp_pos_player_count_roll_5,eligible,eligible for at least one first-pass feature set,-0.0533166699652832,0.2030520231213873
opp_pos_player_count_roll_10,eligible,eligible for at least one first-pass feature set,-0.0546179657920675,0.2030520231213873
opp_pos_player_count_roll_30,eligible,eligible for at least one first-pass feature set,-0.0559780435074962,0.2030520231213873
opp_pos_player_count_std_30,eligible,eligible for at least one first-pass feature set,-0.0447537430623503,0.2055183044315992
opp_pos_player_count_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,-0.0040347774809836,0.2030520231213873
opp_pos_player_count_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0028423486037265,0.2030520231213873
opp_pos_player_count_z_5_vs_30,eligible,eligible for at least one first-pass feature set,-0.0053289982910926,0.2067591522157996
opp_pos_player_count_z_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0031252511455493,0.2067591522157996
opp_pos_starter_count_roll_5,eligible,eligible for at least one first-pass feature set,-0.061671376961906,0.2030520231213873
opp_pos_starter_count_roll_10,eligible,eligible for at least one first-pass feature set,-0.061671376961906,0.2030520231213873
opp_pos_starter_count_roll_30,eligible,eligible for at least one first-pass feature set,-0.061671376961906,0.2030520231213873
opp_pos_starter_count_std_30,eligible,eligible for at least one first-pass feature set,,0.2055183044315992
opp_pos_starter_count_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,,0.2030520231213873
opp_pos_starter_count_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,,0.2030520231213873
opp_pos_starter_count_z_5_vs_30,eligible,eligible for at least one first-pass feature set,,1.0
opp_pos_starter_count_z_10_vs_30,eligible,eligible for at least one first-pass feature set,,1.0
league_pos_fp_allowed_per_player_roll_3,eligible,eligible for at least one first-pass feature set,0.0282156790362127,0.2006088631984585
pos_opp_difficulty_roll_3,eligible,eligible for at least one first-pass feature set,0.0019121071996527,0.2030520231213873
pos_opp_difficulty_ratio_3,eligible,eligible for at least one first-pass feature set,0.0052023203525809,0.2030520231213873
league_pos_fp_allowed_per_player_roll_5,eligible,eligible for at least one first-pass feature set,0.0262975723744272,0.2006088631984585
pos_opp_difficulty_roll_5,eligible,eligible for at least one first-pass feature set,0.0103383905263987,0.2030520231213873
pos_opp_difficulty_ratio_5,eligible,eligible for at least one first-pass feature set,0.0123139544513781,0.2030520231213873
league_pos_fp_allowed_per_player_roll_10,eligible,eligible for at least one first-pass feature set,0.0299769577816386,0.2006088631984585
pos_opp_difficulty_roll_10,eligible,eligible for at least one first-pass feature set,0.0163646066631699,0.2030520231213873
pos_opp_difficulty_ratio_10,eligible,eligible for at least one first-pass feature set,0.0171291335467275,0.2030520231213873
league_pos_fp_allowed_per_player_roll_30,eligible,eligible for at least one first-pass feature set,0.044328438949547,0.2006088631984585
pos_opp_difficulty_roll_30,eligible,eligible for at least one first-pass feature set,0.0240383930883057,0.2030520231213873
pos_opp_difficulty_ratio_30,eligible,eligible for at least one first-pass feature set,0.0243143069464356,0.2030520231213873
